team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Bolton,Newcastle,16:00,5,1,2.13,3.31,3.46,1,0,0,1
Manchester Utd,Wigan,16:00,2,0,1.22,5.89,14.22,1,0,0,1
West Brom,Stoke,16:00,0,3,2.35,3.18,3.15,0,0,1,0
Arsenal,Tottenham,13:45,2,3,1.72,3.64,4.98,0,0,1,0
Chelsea,Sunderland,17:10,0,3,1.23,5.65,14.08,0,0,1,0
Everton,Arsenal,15:00,1,2,2.97,3.27,2.4,0,0,1,1
Stoke,Liverpool,18:30,2,0,3.14,3.17,2.26,1,0,0,0
Manchester City,Birmingham,16:00,0,0,1.4,4.41,8.41,0,1,0,0
Newcastle,Fulham,16:00,0,0,1.99,3.3,3.93,0,1,0,0
Tottenham,Blackburn,16:00,4,2,1.61,3.73,5.88,1,0,0,1
West Ham,Blackpool,16:00,0,0,1.85,3.53,4.26,0,1,0,0
Wigan,West Brom,16:00,1,0,2.59,3.25,2.75,1,0,0,1
Wolves,Bolton,16:00,2,3,2.5,3.19,2.89,0,0,1,0
Aston Villa,Manchester Utd,13:45,2,2,5.23,3.49,1.72,1,0,0,0
Everton,Bolton,21:00,1,1,1.62,3.74,5.78,0,1,0,0
Manchester City,Manchester Utd,21:00,0,0,2.69,3.18,2.69,0,1,0,0
Aston Villa,Blackpool,20:45,3,2,1.44,4.24,7.67,1,0,0,1
Chelsea,Fulham,20:45,1,0,1.23,5.71,13.94,1,0,0,1
Newcastle,Blackburn,20:45,1,2,1.79,3.53,4.6,0,0,1,0
West Ham,West Brom,20:45,2,2,2.27,3.3,3.17,0,1,0,0
Wigan,Liverpool,20:45,1,1,4.64,3.59,1.78,0,1,0,0
Wolves,Arsenal,20:45,0,2,6.25,3.93,1.55,0,0,1,1
Tottenham,Sunderland,21:00,1,1,1.52,3.98,6.61,0,1,0,0
Stoke,Birmingham,20:45,3,2,2.03,3.22,3.92,1,0,0,1
Liverpool,Chelsea,17:00,2,0,3.23,3.15,2.32,1,0,0,0
West Brom,Manchester City,16:00,0,2,3.27,3.38,2.2,0,0,1,1
Arsenal,Newcastle,14:30,0,1,1.31,5.2,9.86,0,0,1,0
Birmingham,West Ham,16:00,2,2,1.99,3.27,3.99,0,1,0,0
Blackburn,Wigan,16:00,2,1,1.72,3.6,5.0,1,0,0,1
Blackpool,Everton,16:00,2,2,4.87,3.59,1.74,0,1,0,0
Fulham,Aston Villa,16:00,1,1,2.06,3.28,3.74,0,1,0,0
Manchester Utd,Wolves,16:00,2,1,1.24,5.65,13.58,1,0,0,1
Sunderland,Stoke,16:00,2,0,2.13,3.16,3.66,1,0,0,1
Bolton,Tottenham,13:45,4,2,3.04,3.23,2.38,1,0,0,0
Blackpool,West Brom,21:00,2,1,3.01,3.34,2.34,1,0,0,0
Bolton,Liverpool,17:00,0,1,3.38,3.25,2.2,0,0,1,1
Newcastle,Sunderland,14:30,5,1,2.11,3.16,3.69,1,0,0,1
Aston Villa,Birmingham,13:00,0,0,1.93,3.28,4.22,0,1,0,0
Manchester Utd,Tottenham,18:30,2,0,1.57,3.98,5.76,1,0,0,1
Arsenal,West Ham,16:00,1,0,1.18,6.77,15.39,1,0,0,1
Blackburn,Chelsea,16:00,1,2,7.35,4.23,1.45,0,0,1,1
Everton,Stoke,16:00,1,0,1.58,3.7,6.39,1,0,0,1
Fulham,Wigan,16:00,2,0,1.77,3.58,4.63,1,0,0,1
Wolves,Manchester City,16:00,2,1,4.58,3.42,1.82,1,0,0,0
Manchester City,Arsenal,17:00,0,3,2.4,3.23,2.98,0,0,1,0
Liverpool,Blackburn,16:00,2,1,1.61,3.71,5.98,1,0,0,1
Stoke,Manchester Utd,14:30,1,2,5.68,3.75,1.62,0,0,1,1
West Ham,Newcastle,18:30,1,2,2.31,3.27,3.13,0,0,1,0
Birmingham,Blackpool,16:00,2,0,1.96,3.42,3.9,1,0,0,1
Chelsea,Wolves,16:00,2,0,1.12,8.2,22.6,1,0,0,1
Sunderland,Aston Villa,16:00,1,0,2.27,3.24,3.22,1,0,0,1
West Brom,Fulham,16:00,2,1,1.99,3.31,3.93,1,0,0,1
Wigan,Bolton,16:00,1,1,2.44,3.22,2.98,0,1,0,0
Tottenham,Everton,13:45,1,1,2.03,3.25,3.77,0,1,0,0
Blackburn,Sunderland,21:00,0,0,2.13,3.22,3.59,0,1,0,0
Blackpool,Manchester City,17:00,2,3,5.99,3.89,1.57,0,0,1,1
Everton,Liverpool,14:30,2,0,2.57,3.05,2.91,1,0,0,1
Aston Villa,Chelsea,18:30,0,0,4.82,3.57,1.75,0,1,0,0
Arsenal,Birmingham,16:00,2,1,1.3,5.16,11.12,1,0,0,1
Bolton,Stoke,16:00,2,1,2.16,3.26,3.47,1,0,0,1
Fulham,Tottenham,16:00,1,2,2.92,3.18,2.49,0,0,1,1
Manchester Utd,West Brom,16:00,2,2,1.28,5.46,11.62,0,1,0,0
Newcastle,Wigan,16:00,2,2,1.7,3.7,5.05,0,1,0,0
Wolves,West Ham,16:00,1,1,2.29,3.23,3.18,0,1,0,0
Chelsea,Arsenal,17:00,2,0,1.69,3.77,5.02,1,0,0,1
Liverpool,Blackpool,16:00,1,2,1.31,5.08,10.46,0,0,1,0
Manchester City,Newcastle,14:30,2,1,1.44,4.3,7.56,1,0,0,1
Birmingham,Everton,16:00,0,2,3.05,3.14,2.44,0,0,1,1
Stoke,Blackburn,16:00,1,0,2.24,3.24,3.32,1,0,0,1
Sunderland,Manchester Utd,16:00,0,0,4.84,3.55,1.76,0,1,0,0
Tottenham,Aston Villa,16:00,2,1,1.83,3.52,4.42,1,0,0,1
West Brom,Bolton,16:00,1,1,2.06,3.35,3.63,0,1,0,0
West Ham,Fulham,16:00,1,1,2.31,3.21,3.17,0,1,0,0
Wigan,Wolves,13:45,2,0,2.32,3.2,3.19,1,0,0,1
Newcastle,Stoke,17:10,1,2,1.83,3.51,4.38,0,0,1,0
Wolves,Aston Villa,15:05,1,2,2.67,3.21,2.68,0,0,1,0
Bolton,Manchester Utd,13:00,2,2,7.86,4.27,1.44,0,1,0,0
Arsenal,West Brom,16:00,2,3,1.26,5.57,12.12,0,0,1,0
Birmingham,Wigan,16:00,0,0,1.86,3.4,4.42,0,1,0,0
Blackpool,Blackburn,16:00,1,2,2.92,3.23,2.45,0,0,1,1
Fulham,Everton,16:00,0,0,2.72,3.17,2.67,0,1,0,0
Liverpool,Sunderland,16:00,2,2,1.45,4.2,7.76,0,1,0,0
West Ham,Tottenham,16:00,1,0,3.34,3.32,2.17,1,0,0,0
Manchester City,Chelsea,13:45,1,0,3.43,3.19,2.21,1,0,0,0
Chelsea,Blackpool,17:00,4,0,1.1,9.3,24.0,1,0,0,1
Wigan,Manchester City,16:00,0,2,5.2,3.69,1.68,0,0,1,1
Manchester Utd,Liverpool,14:30,3,2,1.69,3.59,5.35,1,0,0,1
Sunderland,Arsenal,18:30,1,1,5.78,3.62,1.64,0,1,0,0
Aston Villa,Bolton,16:00,1,1,1.66,3.72,5.41,0,1,0,0
Blackburn,Fulham,16:00,1,1,2.0,3.27,4.0,0,1,0,0
Everton,Newcastle,16:00,0,1,1.62,3.72,5.79,0,0,1,0
Tottenham,Wolves,16:00,3,1,1.46,4.11,7.73,1,0,0,1
West Brom,Birmingham,16:00,3,1,2.17,3.26,3.44,1,0,0,1
Stoke,West Ham,13:45,1,1,1.87,3.36,4.39,0,1,0,0
Stoke,Aston Villa,21:00,2,1,2.48,3.25,2.89,1,0,0,1
Birmingham,Liverpool,17:00,0,0,3.99,3.22,2.01,0,1,0,0
Arsenal,Bolton,16:00,4,1,1.22,5.96,13.9,1,0,0,1
Fulham,Wolves,16:00,2,1,1.81,3.46,4.66,1,0,0,1
Manchester City,Blackburn,16:00,1,1,1.48,4.1,7.18,0,1,0,0
Newcastle,Blackpool,16:00,0,2,1.44,4.39,7.17,0,0,1,0
West Brom,Tottenham,16:00,1,1,3.27,3.3,2.23,0,1,0,0
West Ham,Chelsea,16:00,1,3,9.74,4.81,1.34,0,0,1,1
